liquibase_city_import_system_id,liquibase_pickup_districts_import_system_id,system_id,display_name,need_streets_for_calc_flag
HUEVEN,HUEONE,RATEIM,Ratheim,false
HUEVEN,HUEONE,ALTYHL,Altmyhl,false
HUEVEN,HUETWO,HUEBAA,Baal,false
HUEVEN,HUETWO,DOVREN,Doveren,false
HUEVEN,HUETWO,RURICH,Rurich,false
HUEVEN,HUETHR,HUEVEN,HÃ¼ckelhoven,false
HUEVEN,HUEFOU,BRALEN,Brachelen,false
HUEVEN,HUEFOU,HILRTH,Hilfarth,false
HUEVEN,HUEFIV,KLEACH,Kleingladbach,false
HUEVEN,HUEFIV,MILICH,Millich,false
HUEVEN,HUESIX,SCHERG,Schaufenberg,false